experiment_name,eqsat_time,segments
resnet_tau=1000-gpu_2025-03-24_05:49:41,5.7486,1
resnet_tau=5000-gpu_2025-03-24_05:49:41,5.7876,1
resnet_no_segmentation-gpu,5.7626,1
searchlesschess_tau=5-cpu_2025-03-24_05:49:41,17.808,72
searchlesschess_tau=10-cpu_2025-03-24_05:49:41,16.471,44
searchlesschess_tau=25-cpu_2025-03-24_05:49:41,18.058,27
searchlesschess_tau=100-cpu_2025-03-24_05:49:41,17.505,8
searchlesschess_tau=500-cpu_2025-03-24_05:49:41,20.362,2
searchlesschess_tau=1000-cpu_2025-03-24_05:49:41,25.933,1
searchlesschess_tau=5000-cpu_2025-03-24_05:49:41,26.223,1
searchlesschess_no_segmentation-cpu,26.209,1
searchlesschess_tau=5-gpu_2025-03-24_05:49:41,8.8226,72
searchlesschess_tau=10-gpu_2025-03-24_05:49:41,6.8054,44
searchlesschess_tau=25-gpu_2025-03-24_05:49:41,7.6838,27
searchlesschess_tau=100-gpu_2025-03-24_05:49:41,7.8821,8
searchlesschess_tau=500-gpu_2025-03-24_05:49:41,21.187,2
searchlesschess_tau=1000-gpu_2025-03-24_05:49:41,163.2,1
searchlesschess_tau=5000-gpu_2025-03-24_05:49:41,163.99,1
searchlesschess_no_segmentation-gpu,168.22,1
